l	2-221	2-122	2-231	2-132	2033	2-241	2-142	2043	2144	3-320	3-221	3-122	3-330	3-231	3-132	3033	3-340	3-241	3-142	3043	3144	4-42-1	4-320	4-221	4-122	4-43-1	4-330	4-231	4-132	4033	4-44-1	4-340	4-241	4-142	4043	4144
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	-0.054713564717960836	-0.027359194912303104	0.11210320678296391	0.0847794287136795	0.03853987559443937	-0.12975107209747053	-0.12234031765532406	-0.08009823822535524	-0.034687443691147235	0.1356382561064487	-0.05241330187634305	-0.00975252693907861	-0.16107148490779663	0.06777135612214476	0.007216942788770832	-0.010192576758922205	0.09997498100207589	-0.015619518691990028	0.03789371169221719	0.04976332117610809	0.033426579704354996	-0.1965175550164378	0.02404027334386144	0.012228155874761653	0.008650351605406368	0.08767246512145016	0.04975613302039169	-0.06078260749149158	-0.03556160824509687	-0.012138231893424471	0.026307922764013992	-0.11839724058516754	0.0971286914618663	0.050593018403643185	0.014439878143028039	-0.002233736984801252
4	-0.08422618271102804	-0.057911329197478524	0.13786606430247647	0.15572113452434463	0.09344345467664224	-0.10212790905119733	-0.17334254921427714	-0.1639357807058216	-0.09284099845480459	0.18685191839668516	-0.12458497995099699	-0.03940489827162968	-0.14989526805052789	0.14808282392556263	0.06168710296058832	-0.001593949338786003	0.007822455507426447	-0.03356128565693905	0.015008222077716717	0.06578845667262595	0.06923724105855796	-0.2435070043919798	0.127378041252704	-0.017354934053786804	0.012252348658255252	0.009736502246645354	-0.003153190469225206	-0.06184663803035164	-0.07117259637156317	-0.03923553006845089	0.1197175420199841	-0.10421788453996758	0.1333042378443283	0.11845987043310038	0.06906411585209843	0.01942575821409635
5	-0.06856895781026619	-0.06857665385124544	0.07440397816391392	0.14927213376106593	0.12821641084045377	1.4091579312487103e-05	-0.09755052843609079	-0.17337965485639317	-0.1422742210590092	0.1281890926049854	-0.1492812398395554	-0.07443277411249288	-0.03157589993155745	0.1333774394820538	0.1215800255943404	0.037193469816440124	-0.08088843665353838	0.023731412291922632	-0.01718606596182331	0.019795409335093224	0.06784981790128497	-0.1401236609824086	0.18068746377578282	-0.08644961785846594	-0.007901147517314718	-0.08363648946131054	-0.009143964268190708	0.006773139581826966	-0.04701542352229524	-0.05533476372157664	0.09288829102519248	-0.09387831185411398	0.08549514618549778	0.11184536305742825	0.1129011098570299	0.06492296014266395
6	-0.04564609938275687	-0.060865129229056715	0.0325308620768885	0.10287153311828812	0.12860571370473986	0.014124694495369218	-0.0199754312334379	-0.120544954516143	-0.15811023958743664	0.07458351682948937	-0.12087893207670493	-0.08947525752082938	0.0031839515569490984	0.0596763733322278	0.12314976195589038	0.07806163803648407	-0.03306617794263498	0.07388293509151374	0.015665497479208576	-0.019780995660262594	0.02975994910192679	-0.07338009625718024	0.13335121170407022	-0.12292437729238354	-0.043021762479794626	-0.057424626485952875	0.05317614991687522	0.023335231023676427	0.013325345012950721	-0.03502887264710087	0.0028274187180603936	-0.09477273221866742	0.08193494320096643	0.06389933119817048	0.0913038614412195	0.09347074405875844
7	-0.03210359835172448	-0.04879747603185525	0.021280420375056994	0.06728616787462662	0.11070179677186014	-3.3560895870991473e-06	-4.812580750415965e-06	-0.06766315559135762	-0.1465200246103453	0.05144440942488441	-0.08703863032361854	-0.08374319111081893	-0.0034496845419955445	0.022335101492516544	0.08729799693314418	0.0947661232636823	-0.003928089816947586	0.04883722298443019	0.05244314764822664	-0.013165991261429174	-0.009683800702692478	-0.05274826762484785	0.08458763359287111	-0.10853536848392029	-0.0657954904580549	-0.02687725042521321	0.055442800447605994	-0.01377405924444893	0.037629487314365606	0.003989180383974067	-0.0025523560473270594	-0.03341328458822311	0.09292096736175774	0.06386968687239244	0.048851323567337825	0.08212239046523206
8	-0.023559760041121272	-0.038552329046369294	0.014882906467680495	0.04706385211019013	0.09050740117621968	2.013544725957437e-06	-2.882201082073263e-06	-0.03762134109907017	-0.12490075605891808	0.03728906054301545	-0.06480329898792486	-0.0709799630328848	-0.001914264131917696	0.014226250207906273	0.05756705569047123	0.09099626377280902	-0.008156049409040913	0.02232317710077568	0.049910655660266125	0.008305949951348184	-0.03048337741774631	-0.03801258437683617	0.06208018734568558	-0.08332922985340901	-0.06908615927014333	-0.022353769351100665	0.033176450320984464	-0.028412568926561944	0.025748006221973294	0.03136147751850455	0.008656299318825727	-0.0073914764797352725	0.0575984565719925	0.07869180465908053	0.03716114613015042	0.05177904045290526
9	-0.017881179721349384	-0.030653449607220343	0.010923303594127019	0.03454253040487098	0.07340286154933404	1.0887082904579916e-08	-2.386450951139923e-09	-0.022436041619971384	-0.10362756498958099	0.02806580095567815	-0.04965488393608961	-0.05871276155846644	-0.0011423771016063375	0.009693482041449859	0.04038947476740849	0.07996704875357186	-0.005981446063220552	0.016388273049033213	0.036634163080619155	0.019788992275089654	-0.03635120119709863	-0.02849757891486459	0.047115670484551044	-0.06511603587841118	-0.06300755233705549	-0.016962890537662315	0.025725007616129773	-0.023810905629725328	0.012285402304146075	0.04113420875578787	0.003956568511388508	-0.012094570386650136	0.029623780891068787	0.06790612784454578	0.043620964086836196	0.027166585960852606
10	-0.013944880102769012	-0.024671707913642184	0.008313911952479451	0.02629090090813135	0.059834445747152985	4.517215878853279e-10	2.6179364248795822e-09	-0.014132242444756343	-0.08567204163086292	0.02175798425793448	-0.03898305473787085	-0.04845002646768521	-0.0007195775057728732	0.006953850758764156	0.029681076877289075	0.0683598531840826	-0.004553713512099339	0.012470877698417645	0.027885707598390052	0.022849624409565727	-0.03561724365678784	-0.022029958990693228	0.036743786094000155	-0.05180959213621595	-0.054952345234242486	-0.01322927340370552	0.020356976012001596	-0.019808455552902622	0.00559040694669149	0.04161150632437088	0.0029249717914264822	-0.008972725974315934	0.022076507705644108	0.05073963879636994	0.046510099162606205	0.013244180943296734
11	-0.011120821353548672	-0.0201233850765244	0.0065104589204098015	0.02058787126062018	0.04923184017906716	-5.711784741717688e-09	-4.728205178116154e-10	-0.00930242908574713	-0.07116238030021395	0.01727590903652954	-0.031239848308132725	-0.040194967974385036	-0.0004736622695075882	0.005191338659571201	0.022607447020008605	0.05802275527787879	-0.0035659147122992546	0.009765687726881113	0.021836738249907835	0.02256082344769333	-0.03265514009556556	-0.017454936546608322	0.029302582711389396	-0.041918501215587135	-0.04722438617200387	-0.010550129763137543	0.016407911114626646	-0.016519954678270537	0.0021230017609540214	0.038759974806424784	0.002236195748493975	-0.006892466645802468	0.01700038581343185	0.03916826169785586	0.04439810612133616	0.005916072416725812
