l	202-2	212-1	2220	2-13-3	203-2	213-1	2230	2-24-4	2-14-3	204-2	214-1	2240	302-2	312-1	3220	3321	3-13-3	303-2	313-1	3230	3331	3-24-4	3-14-3	304-2	314-1	3240	3341	402-2	412-1	4220	4321	4422	4-13-3	403-2	413-1	4230	4331	4432	4-24-4	4-14-3	404-2	414-1	4240	4341	4442
2	0.030827604453416486	0.08179956688268389	0.13870786324693285	-0.0325686342086932	0.08467266484216932	0.14966406975661564	0.19222428971041935	0.019944670443629853	-0.05640749379397471	0.103389487277461	0.14922123768722378	0.1668264749642128	0.00873649487464418	-0.0033689070741359742	-0.07034676697338363	-0.25008667284624736	-0.030462708745213153	0.05169275565206513	0.048757309715743505	-0.010343103233112364	-0.16447444740949024	0.04090289990457785	-0.08090282447160412	0.11506017974014622	0.12629151161195482	0.08723358240758211	-0.03946208550125191	-0.0066751746583576	-0.02387753317499368	-0.05168982332807955	-0.05864405785906723	0.24008618022598138	-0.0037735580649466112	-0.007525251224260794	-0.04121750999998366	-0.10377186899580694	-0.17656153641408875	-0.05349140093585016	0.026830362705070998	-0.0395290563572991	0.03544752312964625	0.00391227969596457	-0.06403324135084532	-0.15641765978649025	-0.10729486990120729
3	-0.10030098273133972	-0.2158921327654535	-0.27351490090634256	0.11559888721633793	-0.2465919545128888	-0.3362332670475801	-0.2963378852150385	-0.07551099282972613	0.1735147571991402	-0.24463950250124922	-0.24715690705473634	-0.15789162508427437	-0.006884486623445871	0.06766392960653966	0.2496753968617896	0.4561535262555728	0.08649658981237092	-0.10192577871686681	-0.03720803716837551	0.08970002812064505	0.16142885543501256	-0.13993370310029893	0.22321353631640364	-0.24984354536027548	-0.2130506850060967	-0.13496528476818237	-0.08913477124103784	0.03158661884089378	0.07061861846434327	0.07337299568666135	-0.06408825578210253	-0.4076744588220404	-0.013227096666688715	0.07058722208971142	0.15689543238437803	0.23560013942633665	0.24620620667072263	0.2397501627156817	-0.06735842175145715	0.06460043345212642	-0.013575756326122729	0.0713370988768452	0.15504488687768445	0.18436071954320563	0.20833353213885733
4	0.16196673131031586	0.2672857331490215	0.23430495548940844	-0.20679310632661002	0.33782878565985724	0.3165482821415918	0.1484518191152969	0.14593370215140247	-0.24900281727872844	0.22692636768890875	0.09824267428798863	-0.032564750022162574	-0.03387975131152732	-0.1834975367665706	-0.35529770874519384	-0.3436230338352503	-0.1049967172669477	0.04971225726503673	-0.06036849333957239	-0.08739713137301708	0.041820210528799764	0.2334734068750495	-0.2736626969719034	0.22291300515548504	0.16375202645456596	0.16100599411874758	0.17940077196219958	-0.05642600483056654	-0.0591850906799109	0.05130539222413693	0.25001483973024763	0.27144111414367444	0.07025857412884458	-0.1593576342937268	-0.2103043230661463	-0.20295642865794353	-0.20985146190466905	-0.3228399378117096	0.05581493889529664	0.0055442275174242255	-0.0836949915705271	-0.1281765865098171	-0.12201815162640012	-0.10475545777150073	-0.08326287171592767
5	-0.18285826258089255	-0.233273226106075	-0.1599904446689004	0.25728637419674955	-0.30994494783729065	-0.1933706726163819	-0.05968843713967969	-0.19627670653224646	0.22659049518853805	-0.09754657210046273	0.028166134855253704	0.03147518836761953	0.09151233442599026	0.24304357218180975	0.29852605232889157	0.21599672762196925	0.06322459768889958	0.03950467680619594	0.07145025312139612	-0.024639931372686802	-0.06848758307298128	-0.2586289969778143	0.21049931734412897	-0.1533091693966885	-0.17090308574085752	-0.1803499206277507	-0.057712422396706466	0.044072660071817704	-0.03060763252213931	-0.1686653261413606	-0.20924867682836676	-0.16141537370936693	-0.12303674672152194	0.16454932584365645	0.14075299903518385	0.15649541309966397	0.2612324624295465	0.21215127202357448	0.015264064496081385	-0.08750153231966905	0.10097992850068926	0.08180375788364225	0.0817105265952453	0.07589828908212798	-0.044185815342661264
6	0.17393337264807407	0.18766052916971498	0.12423848444192387	-0.26250443209110264	0.24149041325629475	0.1247110068907248	0.05400566155180741	0.21345321653311358	-0.15653930576825092	0.016318490068789535	-0.018828025970486894	0.010533457714463646	-0.12679330582915485	-0.22636969569616053	-0.2215457161961079	-0.17115302329789803	-0.004036125299780419	-0.06701375415970226	-0.009651460601373965	0.05520105951082698	0.027621526151110482	0.22457448703160324	-0.14613293921206025	0.15996489178878912	0.18606704996102955	0.10026004900224428	0.016199782915759853	-0.00020793772510254013	0.10145615675316377	0.15798411699512843	0.1329119962031147	0.13371834717638356	0.12471911002485021	-0.10126529945545068	-0.10237701863527472	-0.19471158562615737	-0.2194564159317282	-0.14123904889378355	-0.08124389197685203	0.08933925518303565	-0.05974175862110643	-0.07598437118734361	-0.08161619362648656	0.007502231840973762	0.014420349057961237
7	-0.15569418595784615	-0.15436458882754564	-0.10008912634511491	0.24437395509647208	-0.18797736060194953	-0.09707487754566253	-0.042031918367080666	-0.20720607497404409	0.09766975308337725	-8.328833636799723e-06	1.8209911969208335e-08	5.36448408612847e-06	0.1345086789030871	0.19171482447579166	0.18046236673526644	0.13722429671439035	-0.035173908801373596	0.049724526086307244	-0.018156717493657482	-0.03480967056818288	-0.028138433966048988	-0.1754568098960068	0.1289957895264723	-0.17251877871027066	-0.13403144473789733	-0.05173870624445391	-0.03461370579615531	-0.03853323706788154	-0.11197947713147959	-0.11936048825865224	-0.11396132163659813	-0.10590285939289555	-0.0902077593277078	0.06223476939562739	0.1238196266847605	0.18274764085875309	0.15121553726629539	0.12418703686885066	0.1023109698979132	-0.05771295593657253	0.06547232950610628	0.09031351281631744	0.024302356086957327	-0.020305226141509033	0.004159817843828135
8	0.1373349750775472	0.12953358831853676	0.08287457742885926	-0.2201313016609554	0.15209076458590035	0.07853933516376148	0.03400854931643129	0.19117441807594399	-0.062389977152000974	2.603310685543596e-06	-3.0008465290947388e-06	1.716002823462277e-06	-0.12887436412296524	-0.16379581861993237	-0.1504897879713025	-0.11326760802949846	0.05241533085227092	-0.03176539663675677	0.019329798414383086	0.030711655237248097	0.023959951292909246	0.136297608451334	-0.12970045080221534	0.15208079706353037	0.09313856771303794	0.05269110209087684	0.024043151489105814	0.0574187903056992	0.10087383078411481	0.10166011026705038	0.09497188998169157	0.08725412466465159	0.055682966542176096	-0.05893545403309879	-0.12646392772403015	-0.14208095408470664	-0.13229156960842445	-0.10149812603467499	-0.09332364111513218	0.04978145328447212	-0.08389787248908567	-0.05626024849700454	0.0022919101413411093	-0.00460883249326625	0.006635561138130872
9	-0.1210666196629665	-0.11055647965997137	-0.0700912014380252	0.1965620289388655	-0.12655369417969003	-0.06535203587647523	-0.028298226392528228	-0.17313371912073228	0.04197404814428247	1.0037232835167996e-08	1.57542584903267e-08	6.039621703662978e-08	0.11921389080313234	0.14148019851125226	0.12790000120644243	0.09558837953140706	-0.05793060568159963	0.021372147011725004	-0.018859613060995605	-0.02707129503525124	-0.020653606332296293	-0.10925553218053205	0.12651567789785467	-0.1265504136519402	-0.07750199854931167	-0.04383659227392775	-0.02001099304100304	-0.06345979641189571	-0.09007604102336632	-0.08762559664760201	-0.08068334182083071	-0.07354059866421732	-0.03363271727136033	0.06063182973239704	0.11179091931219218	0.12224875523639432	0.11255249343179621	0.08584422917305651	0.07845712318832555	-0.05708382786570454	0.07649246835733908	0.030049221295683787	0.007408046950450964	-0.0025130151520573922	-0.004717055800653912
10	0.10718243416576725	0.0957185629488209	0.060290152593287204	-0.17550975593464296	0.10757056406757219	0.05554919447214401	0.024053543470291594	0.15601546964814603	-0.029418671042780353	-1.526149549852481e-08	2.533152404589405e-09	7.06298159363208e-08	-0.10887367926708602	-0.1235238395822771	-0.110401326171264	-0.08209334223529109	0.05825532450296614	-0.014979265969890538	0.017776295768005206	0.023966764268095624	0.01800616353114283	0.09024899967792624	-0.11924692482183265	0.10757057497715096	0.06587326443132203	0.03726359548440768	0.017008314640741703	0.06381550670961478	0.08042868727303834	0.0763939555642509	0.06962390406078611	0.06309966623503463	0.020589243906245915	-0.05883704496533638	-0.09915650813790852	-0.10643818449800785	-0.09723232520752753	-0.07383999451480561	-0.0663607946998189	0.061711243715199204	-0.06226383442626895	-0.02379748951248083	-0.005185294204043464	0.0027890456095633802	0.004341849384679233
11	-0.09545260648026306	-0.08388108009650237	-0.052579829126168154	0.15724235716396162	-0.09297816395016291	-0.04801370461480083	-0.020790504960663026	-0.1406684025774953	0.021314604239811515	1.9990306161075078e-08	9.347075875385299e-09	7.137411060996657e-08	0.09906074082123076	0.10891342686202654	0.09653319620970881	0.07151108929414897	-0.05627657550361004	0.01085288080767843	-0.016512006810352073	-0.021343818299280174	-0.015859858465395688	-0.07628563001033481	0.11076584812581047	-0.09297818388149728	-0.05693725521510457	-0.032208499215483515	-0.01470121956307826	-0.06164789456346487	-0.07205751376956293	-0.06728740438649922	-0.060864780983101864	-0.05492765505332986	-0.012539357311622772	0.05565439134797077	0.08842016797903963	0.09366183070088031	0.0850682103427542	0.0643969381266552	0.05714227002992632	-0.062009941422976445	0.05200682748116686	0.01941819570587064	0.0037595933209656563	-0.0028460097697342625	-0.003969209611827605
